Rank,Name,Symbol,marketcap,price (USD),country,Sector
319,LPP SA,LPP.WA,6810647751,3669.75,Poland, Consumer Discretionary
320,Orion Corporation,ORNAV.HE,6786080466,48.0427,Finland, Health Care
321,Arkema,AKE.PA,6743010184,86.2181,France, Basic Materials
322,Brunello Cucinelli,BC.MI,6717135771,98.7814,Italy, Consumer Discretionary
323,OTE Group,OTE.F,6697527601,16.1113,Greece, Telecommunications
324,Komerční banka,KOMB.PR,6650030007,35.2122,Czech Republic, Finance
325,Acciona,ANA.MC,6610638887,121.428,Spain, Industrials
326,Raiffeisen Bank International,RAW.F,6591608808,20.069,Austria, Finance
327,Scout24,G24.F,6554914647,89.5072,Germany, Technology
328,Ackermans &amp; Van Haaren,ACKB.BR,6536167816,199.612,Belgium, Finance
329,Neoen,NEOEN.PA,6499362674,42.5752,France, Utilities
330,Acciona Energías Renovables,ANE.MC,6480683205,19.9935,Spain, Utilities
331,Ayvens,AYV.PA,6401615563,7.84536,France, Industrials
332,Compagnie du Cambodge,CBDG.PA,6350440410,104.605,France, Finance
333,Volvo Car,VOLCAR-B.ST,6337903104,2.13181,Sweden, Consumer Discretionary
334,Arcadis,ARCAD.AS,6326414011,70.3656,Netherlands, Industrials
335,Covivio,COV.PA,6298709803,56.8317,France, Real Estate
336,Teleperformance,TEP.PA,6289891013,105.467,France, Industrials
337,DiaSorin,DIA.MI,6252673422,117.276,Italy, Health Care
338,DCC plc,DCC.L,6217425832,62.8808,Ireland, Industrials
339,BAWAG Group,0B2.F,6205766315,79.0467,Austria, Finance
340,Merlin Properties,MRL.MC,6168187624,10.9673,Spain, Real Estate
341,Holmen,HOLM-B.ST,6155804844,38.6635,Sweden, Basic Materials
342,mBank,MBK.WA,6153431035,144.797,Poland, Finance
343,Stevanato,STVN,6134769664,22.48,Italy, Health Care
344,Colruyt,COLR.BR,6028843895,48.3123,Belgium, Consumer Staples
345,Amplifon,AMP.MI,6019836273,26.3884,Italy, Health Care
346,Castellum,CAST.ST,6018208228,12.2211,Sweden, Real Estate
347,SPIE,SPIE.PA,5936151079,35.5656,France, Industrials
348,Lundbeck,HLUN-B.CO,5927007398,6.19097,Denmark, Health Care
349,OPAP (Organization of Football Prognostics),OPAP.AT,5874385869,16.2623,Greece, Consumer Discretionary
350,Nexans,NEX.PA,5870843334,128.006,France,  Industrials
351,Sweco,SWEC-A.ST,5774018132,16.1331,Sweden, Industrials
352,Carl Zeiss Meditec,AFXA.F,5659043296,63.6256,Germany, Health Care
353,Fuchs Petrolub,FPE.F,5654803408,37.3126,Germany, Energy
354,Andritz,AZ2.F,5654345683,56.9934,Austria, Industrials
355,Reply,REY.MI,5644191817,151.407,Italy, Technology
356,Konecranes,KCR.HE,5641929697,71.2283,Finland, Industrials
357,MOL Group,MOL.BD,5635817278,7.05377,Hungary, Energy
358,Elis,ELIS.PA,5586192205,23.7248,France, Industrials
359,Groupe SEB,SK.PA,5581558641,102.61,France, Consumer Discretionary
360,Gaztransport & Technigaz,GTT.PA,5565585765,150.221,France, Industrials
361,Vopak,VPK.AS,5546840039,46.2418,Netherlands, Industrials
362,Pirelli,PIRC.MI,5506308500,5.50631,Italy, Consumer Discretionary
363,Nordnet AB,SAVE.ST,5489593784,21.9149,Sweden, Finance
364,A1 Telekom Austria,TA1.F,5428409740,8.17427,Austria, Telecommunications
365,Oberbank,OBS.VI,5345631714,75.7037,Austria, Finance
366,Telecom Italia,TIT.MI,5321682062,0.240699,Italy, Telecommunications
367,Hera Group,HER.MI,5299171841,3.65793,Italy, Utilities
368,Eurazeo,RF.PA,5294871770,74.2478,France, Finance
369,Richter Gedeon,RIG2.F,5282353637,28.9442,Hungary, Health Care
370,Banca Generali,BGN.MI,5155880858,45.2496,Italy, Finance
371,KION Group,KGX.DE,5149975714,39.2753,Germany, Industrials
372,Zabka Group,ZAB.WA,5149604899,5.14961,Poland, Consumer Staples
373,Azelis Group,AZE.BR,5144313512,21.1258,Belgium,  Basic Materials
374,Warehouses De Pauw,WDP.BR,5141604710,22.7974,Belgium, Basic Materials
375,Piraeus Financial Holdings,TPEIR.AT,5129365961,4.11086,Greece, Finance
376,GamaLife,BTRVB.LS,5122398499,102.448,Portugal, Finance
377,SSAB,SSAB-B.ST,5109700890,5.10664,Sweden, Basic Materials
378,Public Power Corporation,PPC.AT,5017534847,13.1349,Greece, Utilities
379,Fluidra,FDR.MC,5011708107,26.3992,Spain, Industrials
380,B&M European Value Retail,BME.L,4973479248,4.95475,Luxembourg, Consumer Discretionary
381,ALK-Abelló,ALK-B.CO,4960068076,22.4101,Denmark, Health Care
382,Interpump Group,IP.MI,4928155980,46.1771,Italy, Industrials
383,Saipem,SPM.MI,4921996299,2.51483,Italy, Energy
384,Italgas,IG.MI,4899410435,5.99051,Italy, Utilities
385,Getinge,GETI-B.ST,4888196874,17.9469,Sweden, Health Care
386,Mytilineos,MYTIL.AT,4860433724,35.2205,Greece, Basic Materials
